entity_lemmatized,label,frequency,documents_found
anz,ORG,1,solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth
emmy,PERSON,1,solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth
honiara,GPE,1,solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth
honiara,PERSON,1,solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth
in-depth solomons,ORG,1,solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth
lungga,GPE,1,solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth
lungga,PERSON,1,solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth
manasseh,ORG,1,solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth
manasseh sogavare,ORG,1,solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth
occrp,ORG,1,solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth
rick houenipwela,PERSON,1,solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth
sbd,ORG,1,solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth
sogavare,ORG,2,"solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth,solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth"
solomon islands,GPE,1,solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth
solomon islands dollar,ORG,1,solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth
taiwan,GPE,1,solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth
the embassy of taiwan,ORG,1,solomon-islands-pm-has-millions-in-property-raising-questions-around-wealth
